X,Y,Z,Intensity,ReturnNumber,NumberOfReturns,ScanDirectionFlag,EdgeOfFlightLine,Classification,ScanAngleRank,UserData,PointSourceId,GpsTime,Red,Green,Blue,ClusterID
572278.202,4498588.295,38.975,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,10752.0,13312.0,12.0
572278.201,4498588.293,39.069,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,44544.0,14336.0,15616.0,12.0
572278.206,4498588.299,38.928,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,43520.0,11264.0,13312.0,12.0
572278.209,4498588.315,38.895,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44544.0,14336.0,15872.0,12.0
572278.205,4498588.301,38.934,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,11776.0,12288.0,12.0
572278.202,4498588.293,39.035,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44544.0,12288.0,13056.0,12.0
572278.202,4498588.296,39.023,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50176.0,17920.0,18688.0,12.0
572278.202,4498588.291,39.021,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,43520.0,11264.0,12800.0,12.0
572278.203,4498588.301,38.994,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,45312.0,14336.0,15104.0,12.0
572278.2,4498588.292,39.013,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,43520.0,11776.0,12544.0,12.0
572278.201,4498588.298,39.008,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,44288.0,14848.0,16128.0,12.0
572278.214,4498588.32,38.848,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,13056.0,14336.0,12.0
572278.204,4498588.303,38.974,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,45056.0,13568.0,14848.0,12.0
572278.202,4498588.293,38.988,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,44544.0,13056.0,13312.0,12.0
572278.203,4498588.299,38.98,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,45824.0,13568.0,14336.0,12.0
572278.215,4498588.333,38.836,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,44288.0,15872.0,17408.0,12.0
572278.21,4498588.322,38.89,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,43520.0,13312.0,15104.0,12.0
572278.206,4498588.305,38.934,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,43520.0,15104.0,16128.0,12.0
572278.204,4498588.303,38.961,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,43520.0,12544.0,13568.0,12.0
572278.204,4498588.303,38.967,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,43520.0,11776.0,12800.0,12.0
572278.204,4498588.3,38.973,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,44288.0,12800.0,14080.0,12.0
572278.203,4498588.299,38.988,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,44544.0,12544.0,13312.0,12.0
572278.205,4498588.29,39.015,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,44544.0,11264.0,13568.0,12.0
572278.222,4498588.28,39.028,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,48384.0,15616.0,18688.0,12.0
572278.211,4498588.282,39.038,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,44800.0,15104.0,17408.0,12.0
572278.209,4498588.313,38.892,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,12544.0,13568.0,12.0
572278.201,4498588.29,38.993,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,43776.0,11776.0,12288.0,12.0
572278.202,4498588.295,38.994,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,44800.0,12288.0,13312.0,12.0
572278.204,4498588.309,38.975,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46848.0,14336.0,15104.0,12.0
572278.206,4498588.306,38.927,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,45056.0,13568.0,14848.0,12.0
572278.201,4498588.294,38.98,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,12544.0,12800.0,12.0
572278.205,4498588.3,38.954,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,44032.0,11776.0,12544.0,12.0
572278.202,4498588.3,38.938,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,43520.0,14080.0,14336.0,12.0
572278.212,4498588.323,38.868,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,12800.0,14080.0,12.0
