X,Y,Z,Intensity,ReturnNumber,NumberOfReturns,ScanDirectionFlag,EdgeOfFlightLine,Classification,ScanAngleRank,UserData,PointSourceId,GpsTime,Red,Green,Blue,ClusterID
572278.552,4498589.976,38.985,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,45568.0,13568.0,13568.0,8.0
572278.553,4498589.974,38.994,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,44544.0,10496.0,8448.0,8.0
572278.552,4498589.973,39.001,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,45568.0,12288.0,10240.0,8.0
572278.552,4498589.973,39.01,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,46336.0,11520.0,9216.0,8.0
572278.551,4498589.971,38.97,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,45312.0,13312.0,12032.0,8.0
572278.544,4498590.0,39.103,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44544.0,11776.0,11008.0,8.0
572278.556,4498589.979,38.932,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,44544.0,13312.0,12288.0,8.0
572278.558,4498589.983,38.923,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,45056.0,11776.0,10752.0,8.0
572278.546,4498589.995,39.026,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,43776.0,13056.0,11776.0,8.0
572278.551,4498589.976,39.049,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,44032.0,10496.0,8448.0,8.0
572278.552,4498589.978,39.018,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,44032.0,14080.0,11264.0,8.0
572278.544,4498589.989,39.082,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44544.0,12032.0,10496.0,8.0
572278.544,4498589.982,39.116,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,44544.0,12288.0,9216.0,8.0
572278.553,4498589.972,38.96,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,44800.0,13568.0,12288.0,8.0
572278.551,4498589.975,39.027,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,45312.0,11520.0,8192.0,8.0
572278.549,4498589.973,39.078,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,44032.0,12544.0,9984.0,8.0
572278.551,4498589.978,39.054,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,44032.0,11008.0,8192.0,8.0
572278.562,4498589.985,38.933,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,47104.0,14592.0,15360.0,8.0
572278.556,4498589.975,38.992,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,10496.0,10752.0,8.0
572278.557,4498589.983,38.992,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46848.0,14080.0,14848.0,8.0
572278.555,4498589.976,39.057,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,44800.0,13568.0,13568.0,8.0
572278.551,4498589.973,39.114,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,43776.0,10240.0,8448.0,8.0
572278.552,4498589.982,39.113,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44800.0,10752.0,9472.0,8.0
572278.553,4498589.99,39.112,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45824.0,12544.0,10752.0,8.0
