X,Y,Z,Intensity,ReturnNumber,NumberOfReturns,ScanDirectionFlag,EdgeOfFlightLine,Classification,ScanAngleRank,UserData,PointSourceId,GpsTime,Red,Green,Blue,ClusterID
572278.174,4498588.37,39.466,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44544.0,15360.0,17408.0,15.0
572278.182,4498588.409,39.469,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45312.0,14848.0,16128.0,15.0
572278.178,4498588.384,39.476,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45056.0,12032.0,13312.0,15.0
572278.18,4498588.403,39.477,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46080.0,13312.0,15616.0,15.0
572278.182,4498588.411,39.478,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46848.0,13824.0,15104.0,15.0
572278.185,4498588.42,39.479,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,47616.0,13824.0,14848.0,15.0
572278.176,4498588.376,39.475,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45056.0,12800.0,13568.0,15.0
572278.188,4498588.435,39.48,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46592.0,13824.0,15616.0,15.0
572278.179,4498588.394,39.486,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45312.0,14336.0,17664.0,15.0
572278.184,4498588.417,39.469,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46336.0,13824.0,15616.0,15.0
572278.192,4498588.457,39.472,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45824.0,14080.0,15616.0,15.0
572278.19,4498588.448,39.471,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45312.0,13312.0,14848.0,15.0
572278.171,4498588.358,39.465,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,46592.0,15360.0,17664.0,15.0
572278.173,4498588.368,39.474,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45568.0,14080.0,16896.0,15.0
572278.186,4498588.406,39.49,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45568.0,12032.0,14336.0,15.0
572278.197,4498588.486,39.482,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,43520.0,15616.0,15360.0,15.0
572278.199,4498588.481,39.475,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,15360.0,17920.0,15.0
572278.214,4498588.551,39.486,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44544.0,15616.0,14592.0,15.0
572278.195,4498588.465,39.474,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45056.0,15872.0,16896.0,15.0
572278.172,4498588.36,39.473,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,47616.0,16640.0,19712.0,15.0
572278.167,4498588.337,39.453,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,43520.0,22272.0,26368.0,15.0
572278.196,4498588.464,39.465,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44544.0,15360.0,18176.0,15.0
572278.205,4498588.507,39.468,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46080.0,13568.0,15872.0,15.0
572278.187,4498588.426,39.471,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46848.0,13568.0,15360.0,15.0
572278.169,4498588.343,39.464,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,46848.0,14336.0,16896.0,15.0
572278.167,4498588.333,39.464,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,46848.0,14592.0,16640.0,15.0
572278.17,4498588.351,39.465,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,47616.0,15104.0,17408.0,15.0
572278.2,4498588.488,39.475,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,47360.0,15616.0,17152.0,15.0
572278.169,4498588.356,39.461,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44800.0,11776.0,14080.0,15.0
572278.189,4498588.434,39.471,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45568.0,11776.0,14080.0,15.0
