X,Y,Z,Intensity,ReturnNumber,NumberOfReturns,ScanDirectionFlag,EdgeOfFlightLine,Classification,ScanAngleRank,UserData,PointSourceId,GpsTime,Red,Green,Blue,ClusterID
572283.96,4498587.633,35.685,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,26880.0,27648.0,1.0
572283.929,4498587.617,35.704,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,44032.0,16128.0,15360.0,1.0
572284.12,4498587.59,35.641,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,47104.0,15616.0,15360.0,1.0
572283.95,4498587.612,35.697,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,46080.0,16896.0,16384.0,1.0
572283.937,4498587.615,35.701,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,44800.0,14848.0,14336.0,1.0
572283.867,4498587.637,35.724,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,44032.0,23040.0,22528.0,1.0
572284.033,4498587.614,35.668,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,48128.0,23040.0,22016.0,1.0
572283.955,4498587.618,35.694,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,47104.0,16384.0,14336.0,1.0
572284.059,4498587.601,35.665,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,49920.0,15872.0,15360.0,1.0
572283.972,4498587.605,35.689,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45568.0,19712.0,18944.0,1.0
572283.988,4498587.607,35.688,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,47616.0,15872.0,16128.0,1.0
572284.01,4498587.608,35.682,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,48128.0,14848.0,15104.0,1.0
572284.025,4498587.598,35.679,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46080.0,17408.0,15360.0,1.0
572283.788,4498587.627,35.743,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,45312.0,15360.0,15104.0,1.0
572284.127,4498587.603,35.644,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45568.0,17408.0,17152.0,1.0
572284.191,4498587.603,35.621,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44544.0,26112.0,25856.0,1.0
572284.179,4498587.592,35.627,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45568.0,19200.0,18944.0,1.0
572284.224,4498587.599,35.612,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,26880.0,26624.0,1.0
572284.195,4498587.59,35.628,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,47360.0,15872.0,14848.0,1.0
572283.842,4498587.619,35.727,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46848.0,13056.0,12544.0,1.0
572283.972,4498587.617,35.691,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,48896.0,16384.0,16384.0,1.0
572283.725,4498587.64,35.759,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,45824.0,15360.0,14848.0,1.0
572283.975,4498587.628,35.686,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46848.0,22528.0,22784.0,1.0
572283.856,4498587.631,35.727,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45568.0,12544.0,12032.0,1.0
572283.75,4498587.644,35.749,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44800.0,12032.0,10496.0,1.0
572283.639,4498587.657,35.785,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44800.0,11008.0,10496.0,1.0
