X,Y,Z,Intensity,ReturnNumber,NumberOfReturns,ScanDirectionFlag,EdgeOfFlightLine,Classification,ScanAngleRank,UserData,PointSourceId,GpsTime,Red,Green,Blue,ClusterID
572287.89,4498584.97,37.46,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44288.0,41984.0,35840.0,17.0
572287.886,4498584.951,37.456,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44288.0,41728.0,36096.0,17.0
572287.881,4498584.931,37.453,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44288.0,41472.0,35840.0,17.0
572287.876,4498584.912,37.452,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,40704.0,35328.0,17.0
572287.87,4498584.893,37.451,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,41472.0,35840.0,17.0
572287.865,4498584.875,37.45,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,41216.0,35584.0,17.0
572287.859,4498584.856,37.449,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,40960.0,35584.0,17.0
572287.855,4498584.837,37.446,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,40704.0,35072.0,17.0
572287.922,4498585.025,37.471,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,41984.0,36608.0,17.0
572287.963,4498585.209,37.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,41216.0,34816.0,17.0
572287.949,4498585.178,37.508,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,41472.0,35840.0,17.0
572287.943,4498585.159,37.507,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44544.0,41984.0,36096.0,17.0
572287.937,4498585.104,37.488,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45824.0,43008.0,37632.0,17.0
572287.932,4498585.085,37.485,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45312.0,42752.0,37120.0,17.0
572287.928,4498585.065,37.481,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,42240.0,36096.0,17.0
572287.926,4498585.044,37.475,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,42240.0,36352.0,17.0
572287.917,4498585.005,37.468,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,41728.0,36096.0,17.0
572287.968,4498585.229,37.502,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,40448.0,34560.0,17.0
572287.957,4498585.192,37.501,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44288.0,41728.0,35584.0,17.0
572287.975,4498585.098,37.492,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,41216.0,34304.0,17.0
572287.909,4498584.965,37.46,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44544.0,42240.0,36096.0,17.0
572288.062,4498585.232,37.488,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,39936.0,34304.0,17.0
572288.066,4498585.252,37.493,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,40704.0,35072.0,17.0
572288.074,4498585.293,37.502,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,40448.0,35584.0,17.0
572288.08,4498585.311,37.501,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44800.0,41472.0,36096.0,17.0
572288.091,4498585.349,37.504,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,41216.0,34816.0,17.0
572288.095,4498585.369,37.507,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,40704.0,34816.0,17.0
572287.92,4498584.829,37.439,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,40704.0,35072.0,17.0
572287.948,4498584.922,37.443,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,41472.0,35584.0,17.0
572287.953,4498584.941,37.445,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,42240.0,36352.0,17.0
572287.958,4498584.961,37.447,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45056.0,42496.0,36864.0,17.0
572287.962,4498584.98,37.449,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,41728.0,35840.0,17.0
572287.966,4498585.011,37.461,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,41728.0,35328.0,17.0
572287.967,4498585.058,37.484,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44288.0,41984.0,35328.0,17.0
572287.913,4498584.985,37.464,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44288.0,41728.0,36096.0,17.0
572287.974,4498585.073,37.48,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44800.0,42752.0,35840.0,17.0
572287.902,4498584.843,37.44,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,41216.0,35328.0,17.0
572287.908,4498584.862,37.442,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,41216.0,35840.0,17.0
572287.948,4498585.059,37.48,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45312.0,43008.0,37120.0,17.0
572287.957,4498585.098,37.486,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45056.0,42240.0,36096.0,17.0
572287.96,4498585.133,37.501,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45056.0,42752.0,36608.0,17.0
572287.971,4498585.171,37.502,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,41216.0,34816.0,17.0
572287.982,4498585.195,37.496,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,40704.0,34560.0,17.0
572288.03,4498585.403,37.528,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,40704.0,34816.0,17.0
