X,Y,Z,Intensity,ReturnNumber,NumberOfReturns,ScanDirectionFlag,EdgeOfFlightLine,Classification,ScanAngleRank,UserData,PointSourceId,GpsTime,Red,Green,Blue,ClusterID
572288.17,4498585.73,37.541,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,39936.0,34816.0,21.0
572288.083,4498585.735,37.548,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,40192.0,34304.0,21.0
572288.188,4498585.631,37.528,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,40704.0,35072.0,21.0
572288.102,4498585.73,37.548,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,40192.0,33792.0,21.0
572288.234,4498585.721,37.535,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44288.0,40960.0,35840.0,21.0
572288.195,4498585.649,37.527,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44544.0,40704.0,35584.0,21.0
572288.097,4498585.711,37.546,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,39936.0,33792.0,21.0
572288.215,4498585.643,37.525,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44544.0,40704.0,35328.0,21.0
572288.2,4498585.668,37.529,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44544.0,40960.0,35840.0,21.0
572288.188,4498585.81,37.554,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,39936.0,35840.0,21.0
572288.22,4498585.662,37.527,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,40960.0,35584.0,21.0
572288.091,4498585.776,37.556,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,40192.0,33792.0,21.0
572288.096,4498585.796,37.558,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,40448.0,34304.0,21.0
572288.15,4498585.651,37.532,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,39680.0,35072.0,21.0
572288.061,4498585.785,37.559,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,39680.0,33792.0,21.0
572288.1,4498585.816,37.563,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,40192.0,34560.0,21.0
572288.214,4498585.727,37.536,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44288.0,40960.0,35840.0,21.0
572288.21,4498585.706,37.532,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,40960.0,35584.0,21.0
572288.205,4498585.687,37.53,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44800.0,41472.0,36096.0,21.0
572288.165,4498585.711,37.539,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,39936.0,34816.0,21.0
572288.175,4498585.654,37.528,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,40704.0,35328.0,21.0
572288.169,4498585.635,37.528,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,40192.0,35072.0,21.0
572288.184,4498585.694,37.534,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,40704.0,35072.0,21.0
572288.189,4498585.714,37.537,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,40704.0,35072.0,21.0
572288.145,4498585.632,37.53,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,39680.0,35328.0,21.0
572288.226,4498585.681,37.527,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44288.0,40960.0,35584.0,21.0
572288.155,4498585.671,37.534,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,39936.0,35328.0,21.0
572288.179,4498585.674,37.53,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,40704.0,35328.0,21.0
572288.231,4498585.7,37.53,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,40960.0,35584.0,21.0
