X,Y,Z,Intensity,ReturnNumber,NumberOfReturns,ScanDirectionFlag,EdgeOfFlightLine,Classification,ScanAngleRank,UserData,PointSourceId,GpsTime,Red,Green,Blue,ClusterID
572278.651,4498590.438,39.212,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44800.0,16384.0,17664.0,0.0
572278.651,4498590.432,39.211,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,43776.0,21504.0,23296.0,0.0
572278.604,4498590.194,39.069,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,45312.0,14592.0,15616.0,0.0
572278.605,4498590.193,39.062,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,16384.0,18432.0,0.0
572278.608,4498590.203,39.056,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,46336.0,17152.0,17920.0,0.0
572278.608,4498590.203,39.049,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,45312.0,18176.0,18432.0,0.0
572278.608,4498590.202,39.043,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45568.0,35840.0,37376.0,0.0
572277.939,4498588.183,40.225,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,13824.0,12544.0,0.0
572278.269,4498588.24,37.565,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,16128.0,19200.0,0.0
572278.236,4498588.121,37.273,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,29952.0,34816.0,0.0
572278.252,4498588.168,37.273,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,29952.0,34304.0,0.0
572279.929,4498587.995,36.819,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45056.0,12288.0,9472.0,0.0
572278.623,4498590.241,38.936,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44800.0,12544.0,14592.0,0.0
572278.691,4498590.635,39.228,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,19200.0,20736.0,0.0
572278.624,4498590.243,38.929,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44544.0,12032.0,14336.0,0.0
572277.09,4498590.639,41.257,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45056.0,14080.0,13312.0,0.0
572278.269,4498588.807,39.518,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,12032.0,15872.0,0.0
572278.254,4498588.739,39.512,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,43776.0,12032.0,14336.0,0.0
572278.369,4498589.257,39.546,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,47872.0,17152.0,20224.0,0.0
572278.322,4498589.039,39.538,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,9984.0,12800.0,0.0
