X,Y,Z,Intensity,ReturnNumber,NumberOfReturns,ScanDirectionFlag,EdgeOfFlightLine,Classification,ScanAngleRank,UserData,PointSourceId,GpsTime,Red,Green,Blue,ClusterID
572288.274,4498586.476,37.65,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,48128.0,14592.0,12288.0,19.0
572288.025,4498586.513,37.728,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44032.0,22784.0,19712.0,19.0
572288.283,4498586.476,37.647,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,48384.0,14592.0,11776.0,19.0
572288.282,4498586.468,37.646,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46848.0,14848.0,13312.0,19.0
572288.282,4498586.404,37.635,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45056.0,15872.0,13312.0,19.0
572288.292,4498586.475,37.647,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,48384.0,14336.0,11776.0,19.0
572288.045,4498586.509,37.727,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,44544.0,19200.0,16384.0,19.0
572288.059,4498586.51,37.728,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,43520.0,19712.0,15872.0,19.0
572288.076,4498586.519,37.729,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,43776.0,19456.0,16128.0,19.0
572288.258,4498586.507,37.653,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45824.0,13824.0,11776.0,19.0
572288.094,4498586.501,37.682,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44800.0,9984.0,7424.0,19.0
572288.092,4498586.495,37.683,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44288.0,13568.0,10240.0,19.0
572288.128,4498586.492,37.672,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44800.0,9216.0,7424.0,19.0
572288.155,4498586.504,37.672,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44800.0,9984.0,7424.0,19.0
572288.183,4498586.495,37.668,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44800.0,14336.0,11776.0,19.0
572288.12,4498586.511,37.73,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,45568.0,20224.0,18688.0,19.0
