"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","Synthetic","KeyPoint","Withheld","Overlap","ScanAngleRank","UserData","PointSourceId","Red","Green","Blue","ClusterID"
572286.625,4498586.791,37.808,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,45312.000,11776.000,11520.000,3.000
572287.293,4498586.694,37.749,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45056.000,11008.000,10240.000,4.000
572287.284,4498586.707,37.749,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,46080.000,10752.000,10240.000,4.000
572287.269,4498586.694,37.749,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45056.000,11264.000,10240.000,4.000
572286.735,4498586.745,37.819,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45312.000,11264.000,10240.000,3.000
572286.719,4498586.734,37.814,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,46080.000,13312.000,12288.000,3.000
572286.694,4498586.748,37.794,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,44288.000,11520.000,9984.000,3.000
572285.991,4498586.963,37.488,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45056.000,11776.000,10496.000,5.000
572285.984,4498586.970,37.475,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,44288.000,11264.000,11008.000,5.000
572285.975,4498586.969,37.464,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,44800.000,11520.000,11264.000,5.000
572285.962,4498586.961,37.454,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45056.000,12544.000,12032.000,5.000
572285.948,4498586.959,37.436,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,44032.000,11776.000,11776.000,5.000
572285.939,4498586.961,37.426,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,46336.000,13312.000,12800.000,5.000
572285.945,4498586.977,37.423,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,44544.000,11008.000,11008.000,5.000
572285.931,4498586.961,37.412,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,45568.000,11008.000,11520.000,5.000
572285.934,4498586.975,37.412,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,44032.000,10752.000,10240.000,5.000
572285.925,4498586.970,37.400,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,46336.000,13312.000,13312.000,5.000
572285.929,4498586.985,37.398,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,43776.000,11264.000,10496.000,5.000
572285.919,4498586.978,37.386,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45312.000,12544.000,11264.000,5.000
572285.924,4498586.993,37.384,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,44544.000,10752.000,11008.000,5.000
572285.904,4498587.002,37.355,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45824.000,12032.000,10496.000,5.000
572286.352,4498588.902,37.685,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45312.000,13312.000,12544.000,0.000
572286.343,4498588.907,37.667,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,44032.000,14592.000,13568.000,0.000
572281.171,4498590.047,36.875,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,46848.000,13312.000,12288.000,0.000
572285.504,4498588.968,36.563,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,43776.000,11008.000,10240.000,0.000
572281.427,4498590.008,36.796,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45312.000,12288.000,11264.000,0.000
572284.994,4498587.384,35.961,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,44800.000,11776.000,10752.000,1.000
572284.680,4498587.510,35.486,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45312.000,20224.000,19968.000,1.000
572284.195,4498587.590,35.628,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,47360.000,15872.000,14848.000,1.000
572284.224,4498587.599,35.612,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,43776.000,26880.000,26624.000,1.000
572284.179,4498587.592,35.627,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45568.000,19200.000,18944.000,1.000
572284.191,4498587.603,35.621,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,44544.000,26112.000,25856.000,1.000
572284.127,4498587.603,35.644,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45568.000,17408.000,17152.000,1.000
572284.059,4498587.601,35.665,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,49920.000,15872.000,15360.000,1.000
572284.025,4498587.598,35.679,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,46080.000,17408.000,15360.000,1.000
572284.010,4498587.608,35.682,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,48128.000,14848.000,15104.000,1.000
572283.988,4498587.607,35.688,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,47616.000,15872.000,16128.000,1.000
572283.972,4498587.605,35.689,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45568.000,19712.000,18944.000,1.000
572283.972,4498587.617,35.691,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,48896.000,16384.000,16384.000,1.000
572283.955,4498587.618,35.694,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,47104.000,16384.000,14336.000,1.000
572283.975,4498587.628,35.686,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,46848.000,22528.000,22784.000,1.000
572283.960,4498587.633,35.685,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,44032.000,26880.000,27648.000,1.000
572283.795,4498587.392,35.689,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,44544.000,14336.000,12800.000,0.000
572281.724,4498589.947,36.708,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,45312.000,13056.000,12032.000,0.000
572286.292,4498588.887,37.577,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,44288.000,14848.000,15360.000,0.000
572281.815,4498589.046,36.501,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,46848.000,13824.000,13056.000,0.000
572281.813,4498589.039,36.500,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45568.000,14592.000,14592.000,0.000
572281.814,4498589.031,36.502,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,46592.000,14848.000,15104.000,0.000
572286.622,4498588.037,35.635,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,50944.000,50688.000,52224.000,6.000
572281.026,4498588.637,36.641,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45568.000,13312.000,12032.000,0.000
572287.434,4498586.641,37.725,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,43520.000,16640.000,15616.000,4.000
572288.373,4498588.899,40.859,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,54016.000,53504.000,52736.000,7.000
572288.376,4498589.038,40.821,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,43776.000,42496.000,41472.000,7.000
